split,strategy,observations,mean_pnl_inr_per_lot,median_pnl_inr_per_lot,total_pnl_inr_per_lot,win_rate,profit_factor,best_pnl_inr_per_lot,worst_pnl_inr_per_lot
development,Strip,13,12009.074416887779,338.75243509998836,156117.96741954112,0.5384615384615384,2.5523998774902164,113761.43282018011,-24140.53469892001
development,Buy Put,13,6994.34396721542,-4363.029340279883,90926.47157380046,0.38461538461538464,2.539246133589678,62045.682144700055,-10680.22214752
development,Long Synthetic Future,38,3675.8161273842065,7626.486226369989,139681.01284059984,0.6842105263157895,1.5731489345260883,47497.41253666001,-71836.55332576008
development,Buy Call,7,3100.0442486971556,515.8087673599307,21700.30974088009,0.5714285714285714,2.0677989856977756,23634.462774359952,-9778.68069788
development,Sell Put,31,2888.6977079535313,8119.5701348,89549.62894655947,0.7741935483870968,1.617842698440341,26568.98967038,-58266.13316772007
development,Risk Reversal,38,1786.4156035078781,2274.82907292,67883.79293329937,0.7631578947368421,1.4262254142294948,43713.49594910001,-62982.82893312007
development,Batman,76,962.3021559044772,1660.4300210300987,73134.96384874027,0.6973684210526315,1.4357012300682184,13673.55937969999,-40684.48771268006
development,Short Straddle,13,-5184.967882850823,-1614.6157006201388,-67404.5824770607,0.46153846153846156,0.47461346160297163,14420.491006280012,-51940.037340120056
development,Short Strangle,13,-5287.473801287743,-2390.424499680141,-68737.15941674066,0.46153846153846156,0.46697458591647917,12864.721557639998,-53625.880315200055
development,Put Ratio Spread,13,-5299.702705240029,4646.434554919999,-68896.13516812038,0.6153846153846154,0.4137793767110661,9346.608027240114,-54766.49439662006
