split,expiry,entry_date,strategy,regime,rv20,rv20_rank,spot,p20,p35,p65,p80,strikes_json,entry_cashflow_points,mc_ev_gross,mc_ev_net,mc_pop,es95_points,es99_points,risk_points_per_lot,risk_budget_inr,estimated_risk_inr_per_lot,recommended_lots,contract_count,eligible,eligibility_reason,slippage_points_per_leg,entry_cost_inr_expected,entry_cost_inr_entry_only,legs_json,cpcv_frequency,status,expiry_spot,realized_pnl_points_per_unit,realized_cost_inr_per_lot,realized_pnl_inr_per_lot,forced_per_lot_evaluation,exit_spot,realized_pnl_inr,primary_strategy,signal,lots
development,2024-01-05,2024-01-02,Risk Reversal,high,0.11606320822148102,0.8015873015873016,72172.12,71379.2657837405,71907.02273372187,72748.80660897575,73253.64105043001,"{""c65"": 72700.0, ""p35"": 71900.0}",52.80000000000001,47.702858888523586,45.86831047950252,0.6704,2132.590879603571,3130.1315633002982,3130.1315633002982,2000.0,62602.63126600596,1.0,2.0,True,eligible,1.0,36.690968180420306,29.592475040000004,"[{""expiry"": ""2024-01-05"", ""option_type"": ""CE"", ""premium_points"": 211.8, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 210.8, ""side"": ""BUY"", ""strike"": 72700.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 264.6, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 265.6, ""side"": ""SELL"", ""strike"": 71900.0}]",5.0,CLOSED,72026.15,52.80000000000001,29.592475040000004,1026.4075249600003,True,72026.15,1026.4075249600003,Risk Reversal,ENTER,1.0
development,2024-01-12,2024-01-09,Long Synthetic Future,high,0.11234755291538256,0.7420634920634921,71849.59,71113.98632691246,71613.8827949209,72430.9485480098,72889.76427267972,"{""atm"": 71800.0}",-114.5,98.66179766718133,96.4293259572654,0.54,2318.0573271960807,3173.618352247103,3173.618352247103,2000.0,63472.36704494206,1.0,2.0,True,eligible,1.0,44.64943419831881,30.70407076,"[{""expiry"": ""2024-01-12"", ""option_type"": ""CE"", ""premium_points"": 414.3, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 413.3, ""side"": ""BUY"", ""strike"": 71800.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 299.8, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 300.8, ""side"": ""SELL"", ""strike"": 71800.0}]",3.0,CLOSED,72568.45,653.9499999999971,49.91532075999993,13029.084679239942,True,72568.45,13029.084679239942,Long Synthetic Future,ENTER,1.0
development,2024-01-19,2024-01-16,Put Ratio Spread,medium,0.10365534425834147,0.623015873015873,73214.44,72441.38625948361,72987.59649430432,73814.10994142172,74293.34996935942,"{""atm"": 73200.0, ""p35"": 73000.0}",272.75,49.78928305201373,47.337464189713806,0.7804,1793.3870419498357,2806.016582856437,2806.016582856437,2000.0,56120.331657128736,1.0,3.0,True,eligible,1.0,49.03637724599856,39.56051682,"[{""expiry"": ""2024-01-19"", ""option_type"": ""PE"", ""premium_points"": 442.35, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 441.35, ""side"": ""BUY"", ""strike"": 73200.0}, {""expiry"": ""2024-01-19"", ""option_type"": ""PE"", ""premium_points"": 357.55, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 358.55, ""side"": ""SELL"", ""strike"": 73000.0}]",4.0,CLOSED,71683.23,-844.0200000000041,77.4797668200001,-16957.879766820082,True,71683.23,-16957.879766820082,Put Ratio Spread,ENTER,1.0
development,2024-01-25,2024-01-20,Sell Put,high,0.12676329437328096,0.9642857142857143,71847.66,71107.41430919903,71609.8632071653,72418.71808466397,72894.99778976609,"{""atm"": 71800.0}",423.9,69.79055842794318,68.75114812594315,0.7218,1924.6985204646835,2853.892812068712,2853.892812068712,2000.0,57077.85624137424,1.0,1.0,True,eligible,1.0,20.788206040000002,20.788206040000002,"[{""expiry"": ""2024-01-25"", ""option_type"": ""PE"", ""premium_points"": 423.9, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 424.9, ""side"": ""SELL"", ""strike"": 71800.0}]",5.0,CLOSED,70700.67,-675.4300000000018,20.788206040000002,-13529.388206040036,True,70700.67,-13529.388206040036,Sell Put,ENTER,1.0
development,2024-02-02,2024-01-30,Batman,high,0.15125057192325428,1.0,71777.73,70985.80614632956,71495.82227543935,72357.91632937745,72834.70198675021,"{""c65"": 72400.0, ""c80"": 72800.0, ""p20"": 71000.0, ""p35"": 71500.0}",451.74999999999994,415.586370593043,410.87528183168797,0.8908,1107.8319478862268,2093.4520699668037,2093.4520699668037,2000.0,41869.04139933607,1.0,6.0,True,eligible,1.0,94.22177522709994,81.0800813,"[{""expiry"": ""2024-02-02"", ""option_type"": ""PE"", ""premium_points"": 569.95, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 568.95, ""side"": ""BUY"", ""strike"": 71500.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""PE"", ""premium_points"": 403.0, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 404.0, ""side"": ""SELL"", ""strike"": 71000.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""CE"", ""premium_points"": 486.3, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 485.3, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""CE"", ""premium_points"": 351.0, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 352.0, ""side"": ""SELL"", ""strike"": 72800.0}]",2.0,CLOSED,72085.63,451.74999999999994,81.0800813,8953.919918699998,True,72085.63,8953.919918699998,Batman,ENTER,1.0
development,2024-02-09,2024-02-06,Sell Put,high,0.1566767566465073,0.996031746031746,71813.7,71047.76046595885,71543.60812468511,72376.294141029,72852.29279462034,"{""atm"": 71800.0}",574.0,195.01717552332389,193.81863220332394,0.747,1817.694823662954,2832.895490662714,2832.895490662714,2000.0,56657.909813254286,1.0,1.0,True,eligible,1.0,23.970866400000002,23.970866400000002,"[{""expiry"": ""2024-02-09"", ""option_type"": ""PE"", ""premium_points"": 574.0, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 575.0, ""side"": ""SELL"", ""strike"": 71800.0}]",5.0,CLOSED,71595.49,369.49000000000524,23.970866400000002,7365.829133600105,True,71595.49,7365.829133600105,Sell Put,ENTER,1.0
development,2024-02-16,2024-02-13,Sell Put,high,0.15408174023703014,0.9642857142857143,71006.64,70241.11562870779,70746.08403036618,71549.72489149832,72017.99742455875,"{""atm"": 71000.0}",534.6,159.12208687974103,157.965314651741,0.7416,1845.0064262016717,2894.6422889020614,2894.6422889020614,2000.0,57892.84577804123,1.0,1.0,True,eligible,1.0,23.13544456,23.13544456,"[{""expiry"": ""2024-02-16"", ""option_type"": ""PE"", ""premium_points"": 534.6, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 535.6, ""side"": ""SELL"", ""strike"": 71000.0}]",5.0,CLOSED,72426.64,534.6,23.13544456,10668.86455544,True,72426.64,10668.86455544,Sell Put,ENTER,1.0
development,2024-02-23,2024-02-20,Sell Put,high,0.12737448008764424,0.9007936507936508,72617.27,71828.5150321985,72369.44522520556,73179.55721203856,73659.10932597563,"{""atm"": 72600.0}",528.05,150.56851261014344,149.41868456114338,0.7404,1854.943265433699,2751.6919454640097,2751.6919454640097,2000.0,55033.838909280195,1.0,1.0,True,eligible,1.0,22.996560979999998,22.996560979999998,"[{""expiry"": ""2024-02-23"", ""option_type"": ""PE"", ""premium_points"": 528.05, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 529.05, ""side"": ""SELL"", ""strike"": 72600.0}]",5.0,CLOSED,73142.8,528.05,22.996560979999998,10538.00343902,True,73142.8,10538.00343902,Sell Put,ENTER,1.0
development,2024-03-01,2024-02-27,Short Straddle,medium,0.09668809888844578,0.5238095238095238,72809.95,72046.44013302312,72552.84178690966,73369.93215121112,73845.99815601646,"{""atm"": 72800.0}",1120.4499999999998,233.37878337692217,231.01090469592222,0.692,1688.8520010018965,2498.414785412333,2498.414785412333,2000.0,49968.29570824666,1.0,2.0,True,eligible,1.0,47.35757361999999,47.35757361999999,"[{""expiry"": ""2024-03-01"", ""option_type"": ""CE"", ""premium_points"": 619.8, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 620.8, ""side"": ""SELL"", ""strike"": 72800.0}, {""expiry"": ""2024-03-01"", ""option_type"": ""PE"", ""premium_points"": 500.65, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 501.65, ""side"": ""SELL"", ""strike"": 72800.0}]",4.0,CLOSED,73745.35,175.099999999994,47.35757361999999,3454.64242637988,True,73745.35,3454.64242637988,Short Straddle,ENTER,1.0
development,2024-03-07,2024-03-04,Short Straddle,medium,0.10565334822636711,0.6507936507936508,73825.51,73037.97111859817,73546.66283525176,74357.55300457442,74834.80567093544,"{""atm"": 73800.0}",1042.7,148.45651751745763,146.17106783145763,0.6596,1853.4154890341322,2783.807952643858,2783.807952643858,2000.0,55676.159052877156,1.0,2.0,True,eligible,1.0,45.708993719999995,45.708993719999995,"[{""expiry"": ""2024-03-07"", ""option_type"": ""CE"", ""premium_points"": 566.7, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 567.7, ""side"": ""SELL"", ""strike"": 73800.0}, {""expiry"": ""2024-03-07"", ""option_type"": ""PE"", ""premium_points"": 476.0, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 477.0, ""side"": ""SELL"", ""strike"": 73800.0}]",4.0,CLOSED,74119.39,723.3100000000006,45.708993719999995,14420.491006280012,True,74119.39,14420.491006280012,Short Straddle,ENTER,1.0
