split,expiry,entry_date,strategy,regime,rv20,rv20_rank,spot,p20,p35,p65,p80,strikes_json,entry_cashflow_points,mc_ev_gross,mc_ev_net,mc_pop,es95_points,es99_points,risk_points_per_lot,risk_budget_inr,estimated_risk_inr_per_lot,recommended_lots,contract_count,eligible,eligibility_reason,slippage_points_per_leg,entry_cost_inr_expected,entry_cost_inr_entry_only,legs_json,cpcv_frequency,status,expiry_spot,realized_pnl_points_per_unit,realized_cost_inr_per_lot,realized_pnl_inr_per_lot,forced_per_lot_evaluation,exit_spot,realized_pnl_inr,primary_strategy,signal,lots
development,2024-10-18,2024-10-15,Risk Reversal,high,0.13243998057799675,0.7420634920634921,82160.08,81291.9547696136,81837.31926670134,82733.197224007,83282.4315385564,"{""c65"": 82700.0, ""p35"": 81800.0}",31.049999999999983,33.65734332342084,31.72850503684905,0.6674,2376.7744035163905,3626.2217630992513,3626.2217630992513,2000.0,72524.43526198503,1,2,True,eligible,0.25,38.57676573143499,30.97896756,"[{""expiry"": ""2024-10-18"", ""option_type"": ""CE"", ""premium_points"": 181.15, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 180.9, ""side"": ""BUY"", ""strike"": 82700.0}, {""expiry"": ""2024-10-18"", ""option_type"": ""PE"", ""premium_points"": 212.2, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 212.45, ""side"": ""SELL"", ""strike"": 81800.0}]",5,CLOSED,81224.75,-544.2,30.97896756,-10914.97896756,True,81224.75,-10914.97896756,Risk Reversal,ENTER,1
development,2024-10-25,2024-10-22,Strip,medium,0.11703016821667454,0.6587301587301587,81305.97,80420.32675584313,80966.93304525624,81877.50306919565,82408.49124942394,"{""atm"": 81300.0}",-1224.55,225.36611585433045,221.86592431551264,0.4372,1182.2534695395855,1219.1117754866352,1219.1117754866352,2000.0,24382.235509732705,1,3,True,eligible,0.25,70.00383077635826,33.75592788,"[{""expiry"": ""2024-10-25"", ""option_type"": ""CE"", ""premium_points"": 420.75, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 420.5, ""side"": ""BUY"", ""strike"": 81300.0}, {""expiry"": ""2024-10-25"", ""option_type"": ""PE"", ""premium_points"": 401.9, ""qty"": 2, ""quantity_per_lot"": 2, ""raw_open"": 401.65, ""side"": ""BUY"", ""strike"": 81300.0}]",3,CLOSED,79402.29,2570.8700000000126,128.64142788000032,51288.758572120256,True,79402.29,51288.758572120256,Strip,ENTER,1
development,2024-11-08,2024-11-05,Long Synthetic Future,low,0.0936738465905811,0.19047619047619047,78696.42,77859.79176997724,78392.40272651355,79224.2394176546,79718.54719854124,"{""atm"": 78700.0}",-78.0,4.445444186924427,1.4340566190817015,0.5124,2815.6348016838238,4296.115599931241,4296.115599931241,2000.0,85922.31199862482,1,2,True,eligible,0.25,60.227751356855485,47.56300768,"[{""expiry"": ""2024-11-08"", ""option_type"": ""CE"", ""premium_points"": 725.9, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 725.65, ""side"": ""BUY"", ""strike"": 78700.0}, {""expiry"": ""2024-11-08"", ""option_type"": ""PE"", ""premium_points"": 647.9, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 648.15, ""side"": ""SELL"", ""strike"": 78700.0}]",4,CLOSED,79486.32,708.320000000007,67.22100768000017,14099.17899232014,True,79486.32,14099.17899232014,Long Synthetic Future,ENTER,1
development,2024-11-14,2024-11-11,Strip,medium,0.11053508325119604,0.5158730158730159,79304.49,78469.44922901355,79006.00567267761,79855.5928476777,80372.59121179894,"{""atm"": 79300.0}",-1315.75,60.84826461365169,57.40190157288462,0.3924,1272.2108197124796,1311.1844457884258,1311.1844457884258,2000.0,26223.688915768515,1,3,True,eligible,0.25,68.9272608153413,34.512304199999996,"[{""expiry"": ""2024-11-14"", ""option_type"": ""CE"", ""premium_points"": 450.25, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 450.0, ""side"": ""BUY"", ""strike"": 79300.0}, {""expiry"": ""2024-11-14"", ""option_type"": ""PE"", ""premium_points"": 432.75, ""qty"": 2, ""quantity_per_lot"": 2, ""raw_open"": 432.5, ""side"": ""BUY"", ""strike"": 79300.0}]",3,CLOSED,77580.31,2123.6300000000047,120.49680420000013,42352.10319580009,True,77580.31,42352.10319580009,Strip,ENTER,1
development,2024-11-22,2024-11-18,Short Strangle,medium,0.11605951306356825,0.6190476190476191,77376.63,76564.58708333495,77106.90929973398,77926.08040498804,78400.7928007509,"{""c65"": 77900.0, ""p35"": 77100.0}",708.45,131.88273872654216,129.72176218054216,0.6854,2033.49181799873,3267.442450290352,3267.442450290352,2000.0,65348.849005807046,1,2,True,eligible,0.25,43.219530920000004,43.219530920000004,"[{""expiry"": ""2024-11-22"", ""option_type"": ""PE"", ""premium_points"": 406.3, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 406.55, ""side"": ""SELL"", ""strike"": 77100.0}, {""expiry"": ""2024-11-22"", ""option_type"": ""CE"", ""premium_points"": 302.15, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 302.4, ""side"": ""SELL"", ""strike"": 77900.0}]",3,CLOSED,79117.11,-508.66000000000054,43.219530920000004,-10216.419530920011,True,79117.11,-10216.419530920011,Short Strangle,ENTER,1
development,2024-11-29,2024-11-26,Long Synthetic Future,high,0.1544924897093339,0.8650793650793651,80362.52,79518.23311052355,80041.90809311415,80937.17160324272,81493.41808251315,"{""atm"": 80400.0}",92.05000000000001,175.04216548203152,172.2375730266387,0.5628,2713.044435266598,4162.544449773176,4162.544449773176,2000.0,83250.88899546352,1,2,True,eligible,0.25,56.09184910785531,42.80047332,"[{""expiry"": ""2024-11-29"", ""option_type"": ""CE"", ""premium_points"": 462.7, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 462.45, ""side"": ""BUY"", ""strike"": 80400.0}, {""expiry"": ""2024-11-29"", ""option_type"": ""PE"", ""premium_points"": 554.75, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 555.0, ""side"": ""SELL"", ""strike"": 80400.0}]",3,CLOSED,79802.79,-505.1600000000064,42.80047332,-10146.000473320128,True,79802.79,-10146.000473320128,Long Synthetic Future,ENTER,1
development,2024-12-06,2024-12-03,Batman,high,0.15982821729843882,0.9166666666666666,80298.92,79419.1470662015,79978.23809916794,80852.1134471757,81412.83717582394,"{""c65"": 80900.0, ""c80"": 81400.0, ""p20"": 79400.0, ""p35"": 80000.0}",171.75,162.34529921492603,157.452911551404,0.8438,1620.4133391911332,2977.426143563818,2977.426143563818,2000.0,59548.522871276364,1,6,True,eligible,0.25,97.84775327044053,82.806403,"[{""expiry"": ""2024-12-06"", ""option_type"": ""PE"", ""premium_points"": 477.0, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 476.75, ""side"": ""BUY"", ""strike"": 80000.0}, {""expiry"": ""2024-12-06"", ""option_type"": ""PE"", ""premium_points"": 296.8, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 297.05, ""side"": ""SELL"", ""strike"": 79400.0}, {""expiry"": ""2024-12-06"", ""option_type"": ""CE"", ""premium_points"": 380.25, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 380.0, ""side"": ""BUY"", ""strike"": 80900.0}, {""expiry"": ""2024-12-06"", ""option_type"": ""CE"", ""premium_points"": 217.7, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 217.95, ""side"": ""SELL"", ""strike"": 81400.0}]",2,CLOSED,81709.12,362.63000000000466,103.03440299999988,7149.5655970000935,True,81709.12,7149.5655970000935,Batman,ENTER,1
development,2024-12-13,2024-12-10,Sell Put,high,0.1453019037897224,0.75,81424.3,80575.213314151,81115.43493564586,81980.56786512426,82504.39952969059,"{""atm"": 81400.0}",481.45,46.03777272347578,44.78111853747581,0.7116,2469.905899436608,4153.783975820552,4153.783975820552,2000.0,83075.67951641104,1,1,True,eligible,0.25,25.13308372,25.13308372,"[{""expiry"": ""2024-12-13"", ""option_type"": ""PE"", ""premium_points"": 481.45, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 481.7, ""side"": ""SELL"", ""strike"": 81400.0}]",5,CLOSED,82133.12,481.45,25.13308372,9603.86691628,True,82133.12,9603.86691628,Sell Put,ENTER,1
development,2024-12-20,2024-12-17,Batman,high,0.13395368672876617,0.6904761904761905,81505.33,80677.0172141511,81217.57461631313,82128.06399552624,82628.5755797163,"{""c65"": 82100.0, ""c80"": 82600.0, ""p20"": 80700.0, ""p35"": 81200.0}",212.7,170.25092027603125,165.36510602096345,0.834,1597.6177567084526,2714.3468951216914,2714.3468951216914,2000.0,54286.93790243383,1,6,True,eligible,0.25,97.7162851013564,82.94900855999998,"[{""expiry"": ""2024-12-20"", ""option_type"": ""PE"", ""premium_points"": 421.45, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 421.2, ""side"": ""BUY"", ""strike"": 81200.0}, {""expiry"": ""2024-12-20"", ""option_type"": ""PE"", ""premium_points"": 263.45, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 263.7, ""side"": ""SELL"", ""strike"": 80700.0}, {""expiry"": ""2024-12-20"", ""option_type"": ""CE"", ""premium_points"": 408.25, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 408.0, ""side"": ""BUY"", ""strike"": 82100.0}, {""expiry"": ""2024-12-20"", ""option_type"": ""CE"", ""premium_points"": 257.75, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 258.0, ""side"": ""SELL"", ""strike"": 82600.0}]",2,CLOSED,78041.59,-1945.7100000000034,161.90925856000007,-39076.10925856007,True,78041.59,-39076.10925856007,Batman,ENTER,1
development,2024-12-27,2024-12-23,Batman,high,0.13539323593139985,0.6785714285714286,78551.15,77751.62523268686,78268.2158964128,79106.17028432047,79585.09186144269,"{""c65"": 79100.0, ""c80"": 79600.0, ""p20"": 77800.0, ""p35"": 78300.0}",242.65000000000003,213.14453857402023,208.17252538713728,0.84,1466.4177409327422,2627.030134701141,2627.030134701141,2000.0,52540.60269402282,1,6,True,eligible,0.25,99.44026373765801,84.83105748,"[{""expiry"": ""2024-12-27"", ""option_type"": ""PE"", ""premium_points"": 441.3, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 441.05, ""side"": ""BUY"", ""strike"": 78300.0}, {""expiry"": ""2024-12-27"", ""option_type"": ""PE"", ""premium_points"": 283.2, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 283.45, ""side"": ""SELL"", ""strike"": 77800.0}, {""expiry"": ""2024-12-27"", ""option_type"": ""CE"", ""premium_points"": 417.65, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 417.4, ""side"": ""BUY"", ""strike"": 79100.0}, {""expiry"": ""2024-12-27"", ""option_type"": ""CE"", ""premium_points"": 267.6, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 267.85, ""side"": ""SELL"", ""strike"": 79600.0}]",2,CLOSED,78699.07,242.65000000000003,84.83105748,4768.168942520001,True,78699.07,4768.168942520001,Batman,ENTER,1
