split,strategy,observations,mean_pnl_inr_per_lot,median_pnl_inr_per_lot,total_pnl_inr_per_lot,win_rate,profit_factor,best_pnl_inr_per_lot,worst_pnl_inr_per_lot
development,Strip,13,12054.081844795473,383.75649319998837,156703.06398234115,0.5384615384615384,2.5624131078260404,113806.43687828012,-24095.530640820012
development,Buy Put,13,7009.346443184652,-4348.027987579883,91121.50376140048,0.46153846153846156,2.545612360158765,62060.68349740006,-10665.21592732
development,Long Synthetic Future,38,3705.8015773842053,7656.471676369989,140820.4599405998,0.6842105263157895,1.5786787904009107,47527.39798666001,-71806.56787576007
development,Buy Call,7,3115.046296754299,530.8101200599307,21805.324077280093,0.5714285714285714,2.075347741860412,23649.464127059953,-9763.67934518
development,Sell Put,31,2903.680706140628,8134.5542321,90014.10189035947,0.7741935483870968,1.6214970021374313,26583.97376768,-58251.15393792007
development,Risk Reversal,38,1816.4010535078778,2304.81452292,69023.24003329936,0.7631578947368421,1.4341153010821288,43743.48139910001,-62952.84348312007
development,Batman,76,1052.2389448465822,1750.3691156300988,79970.15980834025,0.7105263157894737,1.4823417933013425,13763.498474299988,-40594.54861808006
development,Short Straddle,13,-5155.001934789283,-1584.6475060201387,-67015.02515226068,0.46153846153846156,0.47679449321098577,14450.459200880012,-51910.06914552006
development,Put Ratio Spread,13,-5254.734281209259,4691.404102219999,-68311.54565572037,0.6153846153846154,0.4176393984496234,9391.577574540115,-54721.524849320056
development,Short Strangle,13,-5257.507853226204,-2360.4563050801407,-68347.60209194066,0.46153846153846156,0.46913196813273894,12894.689752239998,-53595.91212060006
