,,,mean_pnl_inr,mean_pnl_inr,mean_pnl_inr,profit_factor,profit_factor,profit_factor,total_pnl_inr,total_pnl_inr,total_pnl_inr,trades,trades,trades,win_rate,win_rate,win_rate
exit,,,15:00,15:10,expiry_settlement,15:00,15:10,expiry_settlement,15:00,15:10,expiry_settlement,15:00,15:10,expiry_settlement,15:00,15:10,expiry_settlement
index,strategy,split,,,,,,,,,,,,,,,
NIFTY,Adaptive,development,-10647.896341463415,-10872.896341463415,1679.3140243902471,0.430070178272885,0.4308374388953525,1.276930618401207,-873127.5,-891577.5,137703.75000000026,82,82,82,0.3048780487804878,0.3048780487804878,0.524390243902439
NIFTY,Adaptive,holdout,6363.720588235294,6537.911764705882,-39.34782608694967,1.8342813957097648,1.8664401065076361,0.9939995922374846,432733.0,444578.0,-2714.999999999527,68,68,69,0.6470588235294118,0.6470588235294118,0.5072463768115942
NIFTY,Adaptive,validation,-15495.64393939394,-15718.787878787878,4526.666666666671,0.26304933300907035,0.25617144536935466,1.8832259208892577,-1534068.75,-1556160.0,448140.00000000035,99,99,99,0.2727272727272727,0.2727272727272727,0.5353535353535354
NIFTY,Batman,development,8441.0,8652.5,1145.0000000000286,11.459727385377944,9.215048658912888,1.2648164209309123,126615.0,129787.5,17175.00000000043,15,15,15,0.7333333333333333,0.8,0.6666666666666666
NIFTY,Batman,holdout,6115.14705882353,6105.948529411765,1969.4642857143024,7.574751172001613,6.304534740365513,1.4963680387409246,207915.0,207602.25,68931.25000000058,34,34,35,0.7058823529411765,0.7352941176470589,0.7714285714285715
NIFTY,Batman,validation,1297.265625,1241.9531249999998,6611.71875000002,1.5443548387096775,1.5326163433510904,11.243282498184705,20756.25,19871.249999999996,105787.50000000032,16,16,16,0.625,0.625,0.875
SENSEX,Adaptive,development,3328.13223098619,1677.980884724286,6415.044456260396,1.5595907819791701,1.2389388108518995,2.534279897652235,139781.55370141997,70475.19715842001,327167.2672692802,42,42,51,0.5952380952380952,0.5714285714285714,0.7058823529411765
SENSEX,Adaptive,holdout,13979.519566769415,13505.710500461179,2875.2297996177736,29.89681478857359,30.93990763180185,1.5550407309926357,237651.83263508006,229597.07850784002,51754.13639311992,17,17,18,0.8235294117647058,0.8235294117647058,0.6666666666666666
SENSEX,Adaptive,validation,-4138.754067034285,-5075.52458827619,2510.293978612169,0.673612698477265,0.5978350230910374,1.6153052980300007,-173827.67081543998,-213172.03270759998,115473.52301615979,42,42,46,0.35714285714285715,0.35714285714285715,0.6086956521739131
SENSEX,Batman,development,1764.6194124999997,1499.67964851625,1516.190115332007,3.5824542538269957,3.352474097382486,1.639738570987798,29998.530012499996,23994.87437626,30323.80230664014,17,16,20,0.6470588235294118,0.6875,0.85
SENSEX,Batman,holdout,8328.122438273336,12808.753868907697,7919.588604464608,69.93473344071944,184.34418607831967,3.6088877437842855,99937.46925928003,166513.80029580006,102954.6518580399,12,13,13,0.8333333333333334,0.8461538461538461,0.8461538461538461
SENSEX,Batman,validation,1473.089173662857,1641.4089583149992,2596.752969928903,2.1200836959760982,2.4943050805507103,1.8889300325616947,10311.62421564,13131.271666519993,23370.77672936013,7,8,9,0.7142857142857143,0.75,0.7777777777777778
