trades,total_pnl_inr,mean_pnl_inr,median_pnl_inr,win_rate,profit_factor,max_drawdown_inr,index,strategy,exit,bootstrap_n,bootstrap_observed_mean,bootstrap_ci_low,bootstrap_ci_high,bootstrap_p_mean_gt_zero
167,-1101335.75,-6594.824850299401,-7076.25,0.4251497005988024,0.5764636128850024,-1649238.75,NIFTY,Adaptive,15:00,167,-6594.824850299401,-12794.920359281437,-354.0671781437136,0.0185
167,-1111582.0,-6656.179640718563,-7064.999999999999,0.4251497005988024,0.5733224320746506,-1671603.75,NIFTY,Adaptive,15:10,167,-6656.179640718563,-12878.935329341317,-410.4417290419166,0.0184
168,445425.0000000008,2651.339285714291,446.2499999999459,0.5238095238095238,1.4640524118510094,-150334.24999999983,NIFTY,Adaptive,expiry_settlement,168,2651.339285714291,-427.320684523808,5662.718080357147,0.9566
50,228671.25,4573.425,1419.3749999999993,0.68,4.278288108439392,-23437.5,NIFTY,Batman,15:00,50,4573.425,1475.690125,8007.379625,0.9989
50,227473.5,4549.47,2572.499999999999,0.7,3.975629696973661,-28136.249999999996,NIFTY,Batman,15:10,50,4549.47,1448.4315,8074.175375,0.9984
51,174718.75000000093,3425.857843137273,4940.000000000048,0.803921568627451,2.1710470094421117,-59422.5,NIFTY,Batman,expiry_settlement,51,3425.857843137273,-177.9473039215653,6611.375735294126,0.9687
59,63824.16181964005,1081.7654545701703,-492.4005287600002,0.4915254237288136,1.1180169292175044,-366855.8637194,SENSEX,Adaptive,15:00,59,1081.7654545701703,-6891.2769741375405,9345.481056227642,0.584
59,16425.045800240056,278.39060678372977,-260.19478611999864,0.4915254237288136,1.0305451682840943,-366781.06146540004,SENSEX,Adaptive,15:10,59,278.39060678372977,-7148.456714909407,7995.505975721205,0.5168
64,167227.65940927973,2612.932178269996,4040.903290680023,0.625,1.5953015598498157,-85198.17589796006,SENSEX,Adaptive,expiry_settlement,64,2612.932178269996,-906.3710905056092,6112.477683792905,0.9232
19,110249.09347492002,5802.583867101054,3797.95443764,0.7894736842105263,11.346334844313672,-9206.119375439997,SENSEX,Batman,15:00,19,5802.583867101054,1322.7925384834746,11085.98009008426,0.9976
21,179645.07196232007,8554.527236300955,3809.0668345599993,0.8095238095238095,19.528233624695194,-8787.54401456,SENSEX,Batman,15:10,21,8554.527236300955,1912.1667116153328,17410.585566949478,0.9986
22,126325.42858740002,5742.06493579091,5361.007445419999,0.8181818181818182,2.9211838502100496,-30610.348597719887,SENSEX,Batman,expiry_settlement,22,5742.06493579091,618.5478280254259,10776.06164479122,0.987
