split,expiry,entry_date,strategy,regime,rv20,rv20_rank,spot,p20,p35,p65,p80,strikes_json,entry_cashflow_points,mc_ev_gross,mc_ev_net,mc_pop,es95_points,es99_points,risk_points_per_lot,risk_budget_inr,estimated_risk_inr_per_lot,recommended_lots,contract_count,eligible,eligibility_reason,slippage_points_per_leg,entry_cost_inr_expected,entry_cost_inr_entry_only,legs_json,cpcv_frequency,status,expiry_spot,realized_pnl_points_per_unit,realized_cost_inr_per_lot,realized_pnl_inr_per_lot,forced_per_lot_evaluation,universe,reason
development,2024-01-05,2024-01-02,Batman,high,0.11606320822148102,0.8015873015873016,72172.12,71379.2657837405,71907.02273372187,72748.80660897575,73253.64105043001,"{""c65"": 72700.0, ""c80"": 73300.0, ""p20"": 71400.0, ""p35"": 71900.0}",-65.50000000000003,-37.033904320745506,-40.59331621517689,0.4618,1528.4285158011564,2600.7253446775135,2600.7253446775135,2000.0,52014.50689355027,0.0,6.0,False,negative_net_ev,2.0,71.18823788862751,56.86382308,"[{""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 267.6, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 265.6, ""side"": ""BUY"", ""strike"": 71900.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 133.25, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 135.25, ""side"": ""SELL"", ""strike"": 71400.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""CE"", ""premium_points"": 212.8, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 210.8, ""side"": ""BUY"", ""strike"": 72700.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""CE"", ""premium_points"": 74.2, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 76.2, ""side"": ""SELL"", ""strike"": 73300.0}]",2.0,EVALUATED,72026.15,-65.50000000000003,56.86382308,-1366.8638230800004,True,,
development,2024-01-05,2024-01-02,Long Synthetic Future,high,0.11606320822148102,0.8015873015873016,72172.12,71379.2657837405,71907.02273372187,72748.80660897575,73253.64105043001,"{""atm"": 72200.0}",-61.05000000000001,41.65777147168901,39.40019388530253,0.5234,2546.863908780937,3544.404592477664,3544.404592477664,2000.0,70888.09184955328,1.0,2.0,True,eligible,2.0,45.151551727730435,32.36426806,"[{""expiry"": ""2024-01-05"", ""option_type"": ""CE"", ""premium_points"": 437.2, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 435.2, ""side"": ""BUY"", ""strike"": 72200.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 376.15, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 378.15, ""side"": ""SELL"", ""strike"": 72200.0}]",3.0,EVALUATED,72026.15,-234.90000000000583,32.36426806,-4730.364268060116,True,,
development,2024-01-05,2024-01-02,Risk Reversal,high,0.11606320822148102,0.8015873015873016,72172.12,71379.2657837405,71907.02273372187,72748.80660897575,73253.64105043001,"{""c65"": 72700.0, ""p35"": 71900.0}",50.80000000000001,45.70285888852329,43.86928047950226,0.6698,2134.589909603571,3132.1305933002986,3132.1305933002986,2000.0,62642.61186600597,1.0,2.0,True,eligible,2.0,36.6715681804203,29.573075040000006,"[{""expiry"": ""2024-01-05"", ""option_type"": ""CE"", ""premium_points"": 212.8, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 210.8, ""side"": ""BUY"", ""strike"": 72700.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 263.6, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 265.6, ""side"": ""SELL"", ""strike"": 71900.0}]",5.0,EVALUATED,72026.15,50.80000000000001,29.573075040000006,986.4269249600002,True,,
development,2024-01-05,2024-01-02,Sell Put,high,0.11606320822148102,0.8015873015873016,72172.12,71379.2657837405,71907.02273372187,72748.80660897575,73253.64105043001,"{""atm"": 72200.0}",376.15,-32.63357523752826,-33.62236194452827,0.6774,2108.3951179015507,3105.935801598277,3105.935801598277,2000.0,62118.71603196554,0.0,1.0,False,negative_net_ev,2.0,19.77573414,19.77573414,"[{""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 376.15, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 378.15, ""side"": ""SELL"", ""strike"": 72200.0}]",5.0,EVALUATED,72026.15,202.29999999999416,19.77573414,4026.224265859883,True,,
development,2024-01-05,2024-01-02,Batman,high,0.11606320822148102,0.8015873015873016,72172.12,71379.2657837405,71907.02273372187,72748.80660897575,73253.64105043001,"{""c65"": 72700.0, ""c80"": 73300.0, ""p20"": 71400.0, ""p35"": 71900.0}",-65.50000000000003,-37.033904320745506,-40.59331621517689,0.4618,1528.4285158011564,2600.7253446775135,2600.7253446775135,2000.0,52014.50689355027,0.0,6.0,False,negative_net_ev,2.0,71.18823788862751,56.86382308,"[{""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 267.6, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 265.6, ""side"": ""BUY"", ""strike"": 71900.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 133.25, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 135.25, ""side"": ""SELL"", ""strike"": 71400.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""CE"", ""premium_points"": 212.8, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 210.8, ""side"": ""BUY"", ""strike"": 72700.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""CE"", ""premium_points"": 74.2, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 76.2, ""side"": ""SELL"", ""strike"": 73300.0}]",2.0,EVALUATED,72026.15,-65.50000000000003,56.86382308,-1366.8638230800004,True,Batman_standalone,
development,2024-01-12,2024-01-09,Batman,high,0.11234755291538256,0.7420634920634921,71849.59,71113.98632691246,71613.8827949209,72430.9485480098,72889.76427267972,"{""c65"": 72400.0, ""c80"": 72900.0, ""p20"": 71100.0, ""p35"": 71600.0}",-61.60000000000002,-59.54490675490679,-62.96900631054252,0.441,1513.7870426239008,2525.9997965993666,2525.9997965993666,2000.0,50519.99593198733,0.0,6.0,False,negative_net_ev,2.0,68.48199111271444,54.90117704000001,"[{""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 223.5, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 221.5, ""side"": ""BUY"", ""strike"": 71600.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 96.6, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 98.6, ""side"": ""SELL"", ""strike"": 71100.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""CE"", ""premium_points"": 168.0, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 166.0, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""CE"", ""premium_points"": 68.35, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 70.35, ""side"": ""SELL"", ""strike"": 72900.0}]",2.0,EVALUATED,72568.45,106.84999999999707,59.112427039999936,2077.8875729599413,True,,
development,2024-01-12,2024-01-09,Long Synthetic Future,high,0.11234755291538256,0.7420634920634921,71849.59,71113.98632691246,71613.8827949209,72430.9485480098,72889.76427267972,"{""atm"": 71800.0}",-116.5,96.6617976671809,94.430295957265,0.5392,2320.0563571960815,3175.617382247103,3175.617382247103,2000.0,63512.347644942056,1.0,2.0,True,eligible,2.0,44.630034198318796,30.684670759999996,"[{""expiry"": ""2024-01-12"", ""option_type"": ""CE"", ""premium_points"": 415.3, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 413.3, ""side"": ""BUY"", ""strike"": 71800.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 298.8, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 300.8, ""side"": ""SELL"", ""strike"": 71800.0}]",3.0,EVALUATED,72568.45,651.9499999999971,49.895920759999925,12989.104079239942,True,,
development,2024-01-12,2024-01-09,Risk Reversal,high,0.11234755291538256,0.7420634920634921,71849.59,71113.98632691246,71613.8827949209,72430.9485480098,72889.76427267972,"{""c65"": 72400.0, ""p35"": 71600.0}",51.5,57.90549705266126,56.13411351518552,0.6742,1951.596239023641,2807.1572640746626,2807.1572640746626,2000.0,56143.145281493256,1.0,2.0,True,eligible,2.0,35.42767074951548,28.557195,"[{""expiry"": ""2024-01-12"", ""option_type"": ""CE"", ""premium_points"": 168.0, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 166.0, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 219.5, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 221.5, ""side"": ""SELL"", ""strike"": 71600.0}]",5.0,EVALUATED,72568.45,219.9499999999971,32.76844499999993,4366.231554999942,True,,
development,2024-01-12,2024-01-09,Sell Put,high,0.11234755291538256,0.7420634920634921,71849.59,71113.98632691246,71613.8827949209,72430.9485480098,72889.76427267972,"{""atm"": 71800.0}",298.8,-45.8527398655712,-46.75952164957117,0.6894,1903.4316372701655,2758.9926623211877,2758.9926623211877,2000.0,55179.85324642375,0.0,1.0,False,negative_net_ev,2.0,18.13563568,18.13563568,"[{""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 298.8, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 300.8, ""side"": ""SELL"", ""strike"": 71800.0}]",5.0,EVALUATED,72568.45,298.8,18.13563568,5957.86436432,True,,
development,2024-01-12,2024-01-09,Batman,high,0.11234755291538256,0.7420634920634921,71849.59,71113.98632691246,71613.8827949209,72430.9485480098,72889.76427267972,"{""c65"": 72400.0, ""c80"": 72900.0, ""p20"": 71100.0, ""p35"": 71600.0}",-61.60000000000002,-59.54490675490679,-62.96900631054252,0.441,1513.7870426239008,2525.9997965993666,2525.9997965993666,2000.0,50519.99593198733,0.0,6.0,False,negative_net_ev,2.0,68.48199111271444,54.90117704000001,"[{""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 223.5, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 221.5, ""side"": ""BUY"", ""strike"": 71600.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 96.6, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 98.6, ""side"": ""SELL"", ""strike"": 71100.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""CE"", ""premium_points"": 168.0, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 166.0, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""CE"", ""premium_points"": 68.35, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 70.35, ""side"": ""SELL"", ""strike"": 72900.0}]",2.0,EVALUATED,72568.45,106.84999999999707,59.112427039999936,2077.8875729599413,True,Batman_standalone,
