split,expiry,entry_date,strategy,regime,rv20,rv20_rank,spot,p20,p35,p65,p80,strikes_json,entry_cashflow_points,mc_ev_gross,mc_ev_net,mc_pop,es95_points,es99_points,risk_points_per_lot,risk_budget_inr,estimated_risk_inr_per_lot,recommended_lots,contract_count,eligible,eligibility_reason,slippage_points_per_leg,entry_cost_inr_expected,entry_cost_inr_entry_only,legs_json,cpcv_frequency,status,expiry_spot,realized_pnl_points_per_unit,realized_cost_inr_per_lot,realized_pnl_inr_per_lot,forced_per_lot_evaluation,exit_spot,realized_pnl_inr,primary_strategy,signal,lots
development,2024-01-05,2024-01-02,Risk Reversal,high,0.11606320822148102,0.8015873015873016,72172.12,71379.2657837405,71907.02273372187,72748.80660897575,73253.64105043001,"{""c65"": 72700.0, ""p35"": 71900.0}",50.80000000000001,45.70285888852329,43.86928047950226,0.6698,2134.589909603571,3132.1305933002986,3132.1305933002986,2000.0,62642.61186600597,1.0,2.0,True,eligible,2.0,36.6715681804203,29.573075040000006,"[{""expiry"": ""2024-01-05"", ""option_type"": ""CE"", ""premium_points"": 212.8, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 210.8, ""side"": ""BUY"", ""strike"": 72700.0}, {""expiry"": ""2024-01-05"", ""option_type"": ""PE"", ""premium_points"": 263.6, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 265.6, ""side"": ""SELL"", ""strike"": 71900.0}]",5.0,CLOSED,72026.15,50.80000000000001,29.573075040000006,986.4269249600002,True,72026.15,986.4269249600002,Risk Reversal,ENTER,1.0
development,2024-01-12,2024-01-09,Long Synthetic Future,high,0.11234755291538256,0.7420634920634921,71849.59,71113.98632691246,71613.8827949209,72430.9485480098,72889.76427267972,"{""atm"": 71800.0}",-116.5,96.6617976671809,94.430295957265,0.5392,2320.0563571960815,3175.617382247103,3175.617382247103,2000.0,63512.347644942056,1.0,2.0,True,eligible,2.0,44.630034198318796,30.684670759999996,"[{""expiry"": ""2024-01-12"", ""option_type"": ""CE"", ""premium_points"": 415.3, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 413.3, ""side"": ""BUY"", ""strike"": 71800.0}, {""expiry"": ""2024-01-12"", ""option_type"": ""PE"", ""premium_points"": 298.8, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 300.8, ""side"": ""SELL"", ""strike"": 71800.0}]",3.0,CLOSED,72568.45,651.9499999999971,49.895920759999925,12989.104079239942,True,72568.45,12989.104079239942,Long Synthetic Future,ENTER,1.0
development,2024-01-19,2024-01-16,Put Ratio Spread,medium,0.10365534425834147,0.623015873015873,73214.44,72441.38625948361,72987.59649430432,73814.10994142172,74293.34996935942,"{""atm"": 73200.0, ""p35"": 73000.0}",269.75,46.789283052013594,44.33949436971368,0.78,1796.3850117698357,2809.0145526764377,2809.0145526764377,2000.0,56180.29105352875,1.0,3.0,True,eligible,2.0,48.99577364599857,39.51991322,"[{""expiry"": ""2024-01-19"", ""option_type"": ""PE"", ""premium_points"": 443.35, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 441.35, ""side"": ""BUY"", ""strike"": 73200.0}, {""expiry"": ""2024-01-19"", ""option_type"": ""PE"", ""premium_points"": 356.55, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 358.55, ""side"": ""SELL"", ""strike"": 73000.0}]",4.0,CLOSED,71683.23,-847.0200000000041,77.4391632200001,-17017.83916322008,True,71683.23,-17017.83916322008,Put Ratio Spread,ENTER,1.0
development,2024-01-25,2024-01-20,Sell Put,high,0.12676329437328096,0.9642857142857143,71847.66,71107.41430919903,71609.8632071653,72418.71808466397,72894.99778976609,"{""atm"": 71800.0}",422.9,68.79055842794304,67.75220830594303,0.7216,1925.6974602846844,2854.891751888713,2854.891751888713,2000.0,57097.83503777426,1.0,1.0,True,eligible,2.0,20.767002440000002,20.767002440000002,"[{""expiry"": ""2024-01-25"", ""option_type"": ""PE"", ""premium_points"": 422.9, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 424.9, ""side"": ""SELL"", ""strike"": 71800.0}]",5.0,CLOSED,70700.67,-676.4300000000018,20.767002440000002,-13549.367002440034,True,70700.67,-13549.367002440034,Sell Put,ENTER,1.0
development,2024-02-02,2024-01-30,Batman,high,0.15125057192325428,1.0,71777.73,70985.80614632956,71495.82227543935,72357.91632937745,72834.70198675021,"{""c65"": 72400.0, ""c80"": 72800.0, ""p20"": 71000.0, ""p35"": 71500.0}",445.74999999999994,409.5863705930431,404.87934219168795,0.8902,1113.8278875262272,2099.4480096068037,2099.4480096068037,2000.0,41988.96019213607,1.0,6.0,True,eligible,2.0,94.14056802709993,80.9988741,"[{""expiry"": ""2024-02-02"", ""option_type"": ""PE"", ""premium_points"": 570.95, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 568.95, ""side"": ""BUY"", ""strike"": 71500.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""PE"", ""premium_points"": 402.0, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 404.0, ""side"": ""SELL"", ""strike"": 71000.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""CE"", ""premium_points"": 487.3, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 485.3, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""CE"", ""premium_points"": 350.0, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 352.0, ""side"": ""SELL"", ""strike"": 72800.0}]",2.0,CLOSED,72085.63,445.74999999999994,80.9988741,8834.001125899998,True,72085.63,8834.001125899998,Batman,ENTER,1.0
development,2024-02-09,2024-02-06,Sell Put,high,0.1566767566465073,0.996031746031746,71813.7,71047.76046595885,71543.60812468511,72376.294141029,72852.29279462034,"{""atm"": 71800.0}",573.0,194.01717552332366,192.81969238332363,0.747,1818.6937634829549,2833.894430482714,2833.894430482714,2000.0,56677.888609654285,1.0,1.0,True,eligible,2.0,23.949662800000002,23.949662800000002,"[{""expiry"": ""2024-02-09"", ""option_type"": ""PE"", ""premium_points"": 573.0, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 575.0, ""side"": ""SELL"", ""strike"": 71800.0}]",5.0,CLOSED,71595.49,368.49000000000524,23.949662800000002,7345.850337200105,True,71595.49,7345.850337200105,Sell Put,ENTER,1.0
development,2024-02-16,2024-02-13,Sell Put,high,0.15408174023703014,0.9642857142857143,71006.64,70241.11562870779,70746.08403036618,71549.72489149832,72017.99742455875,"{""atm"": 71000.0}",533.6,158.1220868797409,156.9663748317409,0.7416,1846.005366021673,2895.641228722061,2895.641228722061,2000.0,57912.82457444122,1.0,1.0,True,eligible,2.0,23.11424096,23.11424096,"[{""expiry"": ""2024-02-16"", ""option_type"": ""PE"", ""premium_points"": 533.6, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 535.6, ""side"": ""SELL"", ""strike"": 71000.0}]",5.0,CLOSED,72426.64,533.6,23.11424096,10648.88575904,True,72426.64,10648.88575904,Sell Put,ENTER,1.0
development,2024-02-23,2024-02-20,Sell Put,high,0.12737448008764424,0.9007936507936508,72617.27,71828.5150321985,72369.44522520556,73179.55721203856,73659.10932597563,"{""atm"": 72600.0}",527.05,149.56851261014327,148.41974474114323,0.7404,1855.9422052537002,2752.690885284011,2752.690885284011,2000.0,55053.81770568022,1.0,1.0,True,eligible,2.0,22.97535738,22.97535738,"[{""expiry"": ""2024-02-23"", ""option_type"": ""PE"", ""premium_points"": 527.05, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 529.05, ""side"": ""SELL"", ""strike"": 72600.0}]",5.0,CLOSED,73142.8,527.05,22.97535738,10518.02464262,True,73142.8,10518.02464262,Sell Put,ENTER,1.0
development,2024-03-01,2024-02-27,Short Straddle,medium,0.09668809888844578,0.5238095238095238,72809.95,72046.44013302312,72552.84178690966,73369.93215121112,73845.99815601646,"{""atm"": 72800.0}",1118.4499999999998,231.37878337692237,229.0130250559223,0.6918,1690.8498806418963,2500.4126650523344,2500.4126650523344,2000.0,50008.25330104669,1.0,2.0,True,eligible,2.0,47.31516641999999,47.31516641999999,"[{""expiry"": ""2024-03-01"", ""option_type"": ""CE"", ""premium_points"": 618.8, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 620.8, ""side"": ""SELL"", ""strike"": 72800.0}, {""expiry"": ""2024-03-01"", ""option_type"": ""PE"", ""premium_points"": 499.65, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 501.65, ""side"": ""SELL"", ""strike"": 72800.0}]",4.0,CLOSED,73745.35,173.099999999994,47.31516641999999,3414.68483357988,True,73745.35,3414.68483357988,Short Straddle,ENTER,1.0
development,2024-03-07,2024-03-04,Short Straddle,medium,0.10565334822636711,0.6507936507936508,73825.51,73037.97111859817,73546.66283525176,74357.55300457442,74834.80567093544,"{""atm"": 73800.0}",1040.7,146.45651751745766,144.17318819145774,0.6586,1855.413368674132,2785.8058322838565,2785.8058322838565,2000.0,55716.11664567713,1.0,2.0,True,eligible,2.0,45.66658652,45.66658652,"[{""expiry"": ""2024-03-07"", ""option_type"": ""CE"", ""premium_points"": 565.7, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 567.7, ""side"": ""SELL"", ""strike"": 73800.0}, {""expiry"": ""2024-03-07"", ""option_type"": ""PE"", ""premium_points"": 475.0, ""qty"": -1, ""quantity_per_lot"": 1, ""raw_open"": 477.0, ""side"": ""SELL"", ""strike"": 73800.0}]",4.0,CLOSED,74119.39,721.3100000000006,45.66658652,14380.533413480012,True,74119.39,14380.533413480012,Short Straddle,ENTER,1.0
