split,expiry,entry_date,strategy,regime,rv20,rv20_rank,spot,p20,p35,p65,p80,strikes_json,entry_cashflow_points,mc_ev_gross,mc_ev_net,mc_pop,es95_points,es99_points,risk_points_per_lot,risk_budget_inr,estimated_risk_inr_per_lot,recommended_lots,contract_count,eligible,eligibility_reason,slippage_points_per_leg,entry_cost_inr_expected,entry_cost_inr_entry_only,legs_json,cpcv_frequency,status,expiry_spot,realized_pnl_points_per_unit,realized_cost_inr_per_lot,realized_pnl_inr_per_lot,forced_per_lot_evaluation,universe,reason,realized_pnl_inr,lots,signal
development,2024-01-25,2024-01-20,Batman,high,0.12676329437328096,0.9642857142857143,71847.66,71107.41430919903,71609.8632071653,72418.71808466397,72894.99778976609,"{""c65"": 72400.0, ""c80"": 72900.0, ""p20"": 71100.0, ""p35"": 71600.0}",42.599999999999966,42.68554183077102,38.85724837304411,0.8136,1453.079720966151,2435.011178877378,2435.011178877378,2000.0,48700.22357754756,1.0,6.0,True,eligible,2.0,76.56586915453894,63.06255480000001,"[{""expiry"": ""2024-01-25"", ""option_type"": ""PE"", ""premium_points"": 340.35, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 338.35, ""side"": ""BUY"", ""strike"": 71600.0}, {""expiry"": ""2024-01-25"", ""option_type"": ""PE"", ""premium_points"": 177.8, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 179.8, ""side"": ""SELL"", ""strike"": 71100.0}, {""expiry"": ""2024-01-25"", ""option_type"": ""CE"", ""premium_points"": 309.85, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 307.85, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-01-25"", ""option_type"": ""CE"", ""premium_points"": 168.6, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 170.6, ""side"": ""SELL"", ""strike"": 72900.0}]",2.0,CLOSED,70700.67,143.26999999999822,85.54580480000006,2779.854195199964,True,,,2779.854195199964,1,ENTER
development,2024-01-25,2024-01-20,Batman,high,0.12676329437328096,0.9642857142857143,71847.66,71107.41430919903,71609.8632071653,72418.71808466397,72894.99778976609,"{""c65"": 72400.0, ""c80"": 72900.0, ""p20"": 71100.0, ""p35"": 71600.0}",42.599999999999966,42.68554183077102,38.85724837304411,0.8136,1453.079720966151,2435.011178877378,2435.011178877378,2000.0,48700.22357754756,1.0,6.0,True,eligible,2.0,76.56586915453894,63.06255480000001,"[{""expiry"": ""2024-01-25"", ""option_type"": ""PE"", ""premium_points"": 340.35, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 338.35, ""side"": ""BUY"", ""strike"": 71600.0}, {""expiry"": ""2024-01-25"", ""option_type"": ""PE"", ""premium_points"": 177.8, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 179.8, ""side"": ""SELL"", ""strike"": 71100.0}, {""expiry"": ""2024-01-25"", ""option_type"": ""CE"", ""premium_points"": 309.85, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 307.85, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-01-25"", ""option_type"": ""CE"", ""premium_points"": 168.6, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 170.6, ""side"": ""SELL"", ""strike"": 72900.0}]",2.0,CLOSED,70700.67,143.26999999999822,85.54580480000006,2779.854195199964,True,Batman_standalone,,2779.854195199964,1,ENTER
development,2024-02-02,2024-01-30,Batman,high,0.15125057192325428,1.0,71777.73,70985.80614632956,71495.82227543935,72357.91632937745,72834.70198675021,"{""c65"": 72400.0, ""c80"": 72800.0, ""p20"": 71000.0, ""p35"": 71500.0}",445.74999999999994,409.58637059304306,404.8793421916879,0.8902,1113.8278875262272,2099.4480096068037,2099.4480096068037,2000.0,41988.96019213607,1.0,6.0,True,eligible,2.0,94.14056802709993,80.9988741,"[{""expiry"": ""2024-02-02"", ""option_type"": ""PE"", ""premium_points"": 570.95, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 568.95, ""side"": ""BUY"", ""strike"": 71500.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""PE"", ""premium_points"": 402.0, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 404.0, ""side"": ""SELL"", ""strike"": 71000.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""CE"", ""premium_points"": 487.3, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 485.3, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""CE"", ""premium_points"": 350.0, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 352.0, ""side"": ""SELL"", ""strike"": 72800.0}]",2.0,CLOSED,72085.63,445.74999999999994,80.9988741,8834.001125899998,True,,,8834.001125899998,1,ENTER
development,2024-02-02,2024-01-30,Batman,high,0.15125057192325428,1.0,71777.73,70985.80614632956,71495.82227543935,72357.91632937745,72834.70198675021,"{""c65"": 72400.0, ""c80"": 72800.0, ""p20"": 71000.0, ""p35"": 71500.0}",445.74999999999994,409.58637059304306,404.8793421916879,0.8902,1113.8278875262272,2099.4480096068037,2099.4480096068037,2000.0,41988.96019213607,1.0,6.0,True,eligible,2.0,94.14056802709993,80.9988741,"[{""expiry"": ""2024-02-02"", ""option_type"": ""PE"", ""premium_points"": 570.95, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 568.95, ""side"": ""BUY"", ""strike"": 71500.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""PE"", ""premium_points"": 402.0, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 404.0, ""side"": ""SELL"", ""strike"": 71000.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""CE"", ""premium_points"": 487.3, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 485.3, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-02-02"", ""option_type"": ""CE"", ""premium_points"": 350.0, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 352.0, ""side"": ""SELL"", ""strike"": 72800.0}]",2.0,CLOSED,72085.63,445.74999999999994,80.9988741,8834.001125899998,True,Batman_standalone,,8834.001125899998,1,ENTER
development,2024-02-09,2024-02-06,Batman,high,0.1566767566465073,0.996031746031746,71813.7,71047.76046595885,71543.60812468511,72376.294141029,72852.29279462034,"{""c65"": 72400.0, ""c80"": 72900.0, ""p20"": 71000.0, ""p35"": 71500.0}",178.05,186.14988731605075,182.0303903722503,0.86,1263.319063067852,2229.254525851449,2229.254525851449,2000.0,44585.090517028984,1.0,6.0,True,eligible,2.0,82.38993887600756,69.57547182,"[{""expiry"": ""2024-02-09"", ""option_type"": ""PE"", ""premium_points"": 463.7, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 461.7, ""side"": ""BUY"", ""strike"": 71500.0}, {""expiry"": ""2024-02-09"", ""option_type"": ""PE"", ""premium_points"": 302.0, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 304.0, ""side"": ""SELL"", ""strike"": 71000.0}, {""expiry"": ""2024-02-09"", ""option_type"": ""CE"", ""premium_points"": 344.75, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 342.75, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-02-09"", ""option_type"": ""CE"", ""premium_points"": 191.25, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 193.25, ""side"": ""SELL"", ""strike"": 72900.0}]",2.0,CLOSED,71595.49,178.05,69.57547182,3491.42452818,True,,,3491.42452818,1,ENTER
development,2024-02-09,2024-02-06,Batman,high,0.1566767566465073,0.996031746031746,71813.7,71047.76046595885,71543.60812468511,72376.294141029,72852.29279462034,"{""c65"": 72400.0, ""c80"": 72900.0, ""p20"": 71000.0, ""p35"": 71500.0}",178.05,186.14988731605075,182.0303903722503,0.86,1263.319063067852,2229.254525851449,2229.254525851449,2000.0,44585.090517028984,1.0,6.0,True,eligible,2.0,82.38993887600756,69.57547182,"[{""expiry"": ""2024-02-09"", ""option_type"": ""PE"", ""premium_points"": 463.7, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 461.7, ""side"": ""BUY"", ""strike"": 71500.0}, {""expiry"": ""2024-02-09"", ""option_type"": ""PE"", ""premium_points"": 302.0, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 304.0, ""side"": ""SELL"", ""strike"": 71000.0}, {""expiry"": ""2024-02-09"", ""option_type"": ""CE"", ""premium_points"": 344.75, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 342.75, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-02-09"", ""option_type"": ""CE"", ""premium_points"": 191.25, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 193.25, ""side"": ""SELL"", ""strike"": 72900.0}]",2.0,CLOSED,71595.49,178.05,69.57547182,3491.42452818,True,Batman_standalone,,3491.42452818,1,ENTER
development,2024-02-16,2024-02-13,Batman,high,0.15408174023703014,0.9642857142857143,71006.64,70241.11562870779,70746.08403036618,71549.72489149832,72017.99742455875,"{""c65"": 71500.0, ""c80"": 72000.0, ""p20"": 70200.0, ""p35"": 70700.0}",143.55000000000007,150.20000376342486,146.05562003807452,0.8482,1361.0382829595185,2347.0916003710145,2347.0916003710145,2000.0,46941.83200742029,1.0,6.0,True,eligible,2.0,82.88767450700539,69.54106578,"[{""expiry"": ""2024-02-16"", ""option_type"": ""PE"", ""premium_points"": 415.5, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 413.5, ""side"": ""BUY"", ""strike"": 70700.0}, {""expiry"": ""2024-02-16"", ""option_type"": ""PE"", ""premium_points"": 255.35000000000002, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 257.35, ""side"": ""SELL"", ""strike"": 70200.0}, {""expiry"": ""2024-02-16"", ""option_type"": ""CE"", ""premium_points"": 423.25, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 421.25, ""side"": ""BUY"", ""strike"": 71500.0}, {""expiry"": ""2024-02-16"", ""option_type"": ""CE"", ""premium_points"": 235.8, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 237.8, ""side"": ""SELL"", ""strike"": 72000.0}]",2.0,CLOSED,72426.64,216.91000000000065,92.70706577999998,4245.492934220014,True,,,4245.492934220014,1,ENTER
development,2024-02-16,2024-02-13,Batman,high,0.15408174023703014,0.9642857142857143,71006.64,70241.11562870779,70746.08403036618,71549.72489149832,72017.99742455875,"{""c65"": 71500.0, ""c80"": 72000.0, ""p20"": 70200.0, ""p35"": 70700.0}",143.55000000000007,150.20000376342486,146.05562003807452,0.8482,1361.0382829595185,2347.0916003710145,2347.0916003710145,2000.0,46941.83200742029,1.0,6.0,True,eligible,2.0,82.88767450700539,69.54106578,"[{""expiry"": ""2024-02-16"", ""option_type"": ""PE"", ""premium_points"": 415.5, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 413.5, ""side"": ""BUY"", ""strike"": 70700.0}, {""expiry"": ""2024-02-16"", ""option_type"": ""PE"", ""premium_points"": 255.35000000000002, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 257.35, ""side"": ""SELL"", ""strike"": 70200.0}, {""expiry"": ""2024-02-16"", ""option_type"": ""CE"", ""premium_points"": 423.25, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 421.25, ""side"": ""BUY"", ""strike"": 71500.0}, {""expiry"": ""2024-02-16"", ""option_type"": ""CE"", ""premium_points"": 235.8, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 237.8, ""side"": ""SELL"", ""strike"": 72000.0}]",2.0,CLOSED,72426.64,216.91000000000065,92.70706577999998,4245.492934220014,True,Batman_standalone,,4245.492934220014,1,ENTER
development,2024-02-23,2024-02-20,Batman,high,0.12737448008764424,0.9007936507936508,72617.27,71828.5150321985,72369.44522520556,73179.55721203856,73659.10932597563,"{""c65"": 73200.0, ""c80"": 73700.0, ""p20"": 71800.0, ""p35"": 72400.0}",35.0,77.43025202724728,73.54027998709769,0.8312,1225.4185017721954,2012.1027579510258,2012.1027579510258,2000.0,40242.055159020514,1.0,6.0,True,eligible,2.0,77.79944080299168,64.26343368,"[{""expiry"": ""2024-02-23"", ""option_type"": ""PE"", ""premium_points"": 444.9, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 442.9, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-02-23"", ""option_type"": ""PE"", ""premium_points"": 247.2, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 249.2, ""side"": ""SELL"", ""strike"": 71800.0}, {""expiry"": ""2024-02-23"", ""option_type"": ""CE"", ""premium_points"": 264.5, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 262.5, ""side"": ""BUY"", ""strike"": 73200.0}, {""expiry"": ""2024-02-23"", ""option_type"": ""CE"", ""premium_points"": 125.0, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 127.0, ""side"": ""SELL"", ""strike"": 73700.0}]",2.0,CLOSED,73142.8,35.0,64.26343368,635.73656632,True,,,635.73656632,1,ENTER
development,2024-02-23,2024-02-20,Batman,high,0.12737448008764424,0.9007936507936508,72617.27,71828.5150321985,72369.44522520556,73179.55721203856,73659.10932597563,"{""c65"": 73200.0, ""c80"": 73700.0, ""p20"": 71800.0, ""p35"": 72400.0}",35.0,77.43025202724728,73.54027998709769,0.8312,1225.4185017721954,2012.1027579510258,2012.1027579510258,2000.0,40242.055159020514,1.0,6.0,True,eligible,2.0,77.79944080299168,64.26343368,"[{""expiry"": ""2024-02-23"", ""option_type"": ""PE"", ""premium_points"": 444.9, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 442.9, ""side"": ""BUY"", ""strike"": 72400.0}, {""expiry"": ""2024-02-23"", ""option_type"": ""PE"", ""premium_points"": 247.2, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 249.2, ""side"": ""SELL"", ""strike"": 71800.0}, {""expiry"": ""2024-02-23"", ""option_type"": ""CE"", ""premium_points"": 264.5, ""qty"": 1, ""quantity_per_lot"": 1, ""raw_open"": 262.5, ""side"": ""BUY"", ""strike"": 73200.0}, {""expiry"": ""2024-02-23"", ""option_type"": ""CE"", ""premium_points"": 125.0, ""qty"": -2, ""quantity_per_lot"": 2, ""raw_open"": 127.0, ""side"": ""SELL"", ""strike"": 73700.0}]",2.0,CLOSED,73142.8,35.0,64.26343368,635.73656632,True,Batman_standalone,,635.73656632,1,ENTER
