split,strategy,observations,mean_pnl_inr_per_lot,median_pnl_inr_per_lot,total_pnl_inr_per_lot,win_rate,profit_factor,best_pnl_inr_per_lot,worst_pnl_inr_per_lot
development,Strip,13,12039.079368826244,368.7551404999884,156508.03179474117,0.5384615384615384,2.5590693789772883,113791.43552558012,-24110.531993520013
development,Buy Put,13,7004.345617861574,-4353.028438479883,91056.49303220047,0.38461538461538464,2.5435378502277555,62055.68304650006,-10670.21800072
development,Long Synthetic Future,38,3695.806427384205,7646.476526369988,140440.6442405998,0.6842105263157895,1.5768336889626313,47517.40283666001,-71816.56302576007
development,Buy Call,7,3110.045614068585,525.8096691599306,21770.319298480095,0.5714285714285714,2.0728277694907336,23644.463676159954,-9768.67979608
development,Sell Put,31,2898.686373411596,8129.559533,89859.27757575948,0.7741935483870968,1.6202783130314697,26578.97906858,-58256.14701452007
development,Risk Reversal,38,1806.4059035078783,2294.81937292,68643.42433329938,0.7631578947368421,1.4314823645617456,43733.48624910001,-62962.83863312007
development,Batman,76,1022.2600151992141,1720.3894174300985,77691.76115514027,0.6973684210526315,1.4666824001698577,13733.518776099989,-40624.528316280055
development,Short Straddle,13,-5164.990584143131,-1594.6369042201388,-67144.8775938607,0.46153846153846156,0.476066689423806,14440.469802680012,-51920.05854372006
development,Short Strangle,13,-5267.49650258005,-2370.4457032801406,-68477.45453354066,0.46153846153846156,0.46841206010629105,12884.700354039998,-53605.901518800056
development,Put Ratio Spread,13,-5269.7237558861825,4676.414253119999,-68506.40882652038,0.6153846153846154,0.41635108142375366,9376.587725440115,-54736.51469842006
