strategy,n_validation_holdout_trades,observed_mean_pnl,observed_total_pnl,bootstrap_ci_low_mean_pnl,bootstrap_ci_high_mean_pnl,bootstrap_p_mean_gt_zero
Adaptive,64,2612.932178269996,167227.65940927973,-804.3144014507675,6133.11055277453,0.9314
Batman,44,5742.06493579091,252650.8571748,662.6747393258911,10341.493785679377,0.9875
