scenario,split,slippage_points_per_leg,adaptive_trades,adaptive_total_pnl,adaptive_mean_pnl,adaptive_win_rate,adaptive_profit_factor,adaptive_max_drawdown,batman_trades,batman_total_pnl,batman_mean_pnl,batman_win_rate,batman_profit_factor,batman_max_drawdown,seed
seed_101,holdout,0.5,18,51324.12448707991,2851.3402492822174,0.6111111111111112,1.5427809174067812,,26,205049.27990399973,7886.510765538451,0.7692307692307693,3.514281850793065,,101
seed_101,validation,0.5,45,106064.36472283977,2356.9858827297726,0.6222222222222222,1.5351576960655793,,18,49829.04780376034,2768.280433542241,0.7777777777777778,1.9164580956505373,,101
seed_202,holdout,0.5,18,61888.873340079925,3438.2707411155516,0.6666666666666666,1.672718268893982,,26,226178.77760999973,8699.183754230758,0.8461538461538461,3.9591076411326056,,202
seed_202,validation,0.5,46,108616.33783099988,2361.2247354565193,0.6086956521739131,1.5413658769161687,,18,46633.998201360344,2590.7776778533525,0.7777777777777778,1.8676473470238337,,202
seed_303,holdout,0.5,18,55800.89730771992,3100.0498504288844,0.6666666666666666,1.5870841796356017,,26,214002.82554527977,8230.877905587684,0.8461538461538461,3.5929230025759478,,303
seed_303,validation,0.5,47,83682.76204839985,1780.4842989021245,0.6170212765957447,1.3648618871012628,,18,51886.38969384035,2882.5772052133525,0.7777777777777778,1.98677443660036,,303
seed_404,holdout,0.5,18,61146.16559603992,3397.0091997799955,0.6666666666666666,1.7072355225390516,,26,212867.98909023975,8187.230349624606,0.7692307692307693,3.6101536266549266,,404
seed_404,validation,0.5,47,84766.19572951981,1803.5360793514853,0.6170212765957447,1.3735872194780703,,18,44124.38463944024,2451.3547021911245,0.7777777777777778,1.7735178375288483,,404
seed_505,holdout,0.5,18,66010.56014631993,3667.253341462218,0.7222222222222222,1.7846300068744931,,26,218216.15576151974,8392.92906775076,0.8461538461538461,3.8377756573945927,,505
seed_505,validation,0.5,48,88194.08121763976,1837.3766920341616,0.6041666666666666,1.3943638884924916,,18,44217.127051120246,2456.5070583955694,0.7777777777777778,1.8002482083824631,,505
