label,strategy,threshold,stress_slippage_points,n,mean,median,total,win_rate,profit_factor,max_drawdown
selected_rule,Buy Call,0.0055,0.5,70,-0.17983516483518502,-65.65769230769158,-12.588461538462951,0.3714285714285715,0.9964646982895958,-1071.9730769230785
best_validation_diagnostic_rule,Buy Put,0.005,0.5,95,6.80809716599196,-66.60769230769085,646.7692307692362,0.3157894736842105,1.1260685010173357,-1487.8115384615335
selected_rule,Buy Call,0.0055,1.0,70,-0.679835164835185,-66.15769230769158,-47.58846153846295,0.3714285714285715,0.986717479402055,-1086.4730769230782
best_validation_diagnostic_rule,Buy Put,0.005,1.0,95,6.308097165991961,-67.10769230769085,599.2692307692362,0.3157894736842105,1.116074461681498,-1530.8115384615337
selected_rule,Buy Call,0.0055,2.0,70,-1.6798351648351848,-67.15769230769158,-117.58846153846294,0.3714285714285715,0.9675777998122934,-1115.4730769230785
best_validation_diagnostic_rule,Buy Put,0.005,2.0,95,5.308097165991961,-68.10769230769085,504.26923076923623,0.3157894736842105,1.0964591665268826,-1616.8115384615337
selected_rule,Buy Call,0.0055,3.0,70,-2.679835164835185,-68.15769230769158,-187.58846153846292,0.3714285714285715,0.9488969567426819,-1144.4730769230785
best_validation_diagnostic_rule,Buy Put,0.005,3.0,95,4.308097165835185,-69.10769230769158,409.26923076923623,0.3157894736842105,1.0773256557529542,-1702.811538461534
